place,x,y,z,yaw,amcl_x,amcl_y,amcl_yaw,group,loop
strip_4,253.072632460,-157.531826280,-0.534805115,0.313594149,176.24736796931572,-203.0556108258387,-0.13770917382981365,strip,
strip_5,285.915137720,-144.221173295,-0.448426192,0.410527499,213.141326204223,-205.38876006278483,-0.07941475576390737,strip,
strip_6,290.030354079,-141.946263098,-0.378105760,0.336627952,218.3512145012023,-205.0777300430647,-0.1576784910552287,strip,
strip_7,331.029715020,-134.044031499,-0.046893875,-0.016821808,261.2976482011687,-217.27536061418485,-0.44925121897243675,strip,
strip_8,344.757063557,-134.148537733,-0.118792468,-0.058130835,271.55714534358674,-222.68810738244372,-0.4787459154394112,strip,
strip_9,365.159246797,-132.997262960,-0.154306483,0.202852648,286.03710561864534,-228.48143668318667,-0.29427482029086044,strip,
strip_10,391.174911726,-134.111726312,-0.341199450,-0.056559808,310.3933747310024,-241.4439593613417,-0.4661362374207786,strip,
strip_11,406.776956937,-136.564991064,-0.407144132,-0.287637702,326.00936794376986,-252.19078676712707,-0.5444249691341683,strip,
strip_12,429.761704512,-138.757408448,-0.401096274,-0.072993730,345.6449106430986,-263.93658080963775,-0.5229284347521312,strip,
strip_13,452.532827865,-142.236725358,-0.401573845,-0.056048163,363.32228443571273,-276.43834429496275,-0.5979763802029507,strip,
strip_14,471.069291983,-144.062134344,-0.350260136,-0.107241663,376.91834963699336,-285.37215567601424,-0.6035353774301878,strip,
strip_15,491.211088852,-144.772219571,-0.206510035,-0.013420582,393.06450885301416,-294.1912736017791,-0.49510604738751934,strip,
strip_16,519.835958117,-143.804029321,0.028643729,-0.155247807,421.57801073473433,-308.4693217103457,-0.7254524761005473,strip,
