place,x,y,z,yaw,amcl_x,amcl_y,amcl_yaw,
parkinglot_east_0,-1.515069962,-27.814300537,0.104198011,3.559253278,5.780418606410491,25.652684192147635,3.1339085930844344,
parkinglot_east_1,-18.284000397,-35.255901337,0.104198812,3.559255301,-12.068900323492986,25.824049909155775,3.1251480662611746,
parkinglot_east_2,-26.774599075,-16.123199463,0.104198011,3.581974364,-12.00210837544538,47.46583432121265,3.1372248992754384,
parkinglot_east_3,-77.172401428,-39.873100281,0.104198011,-1.130359227,-67.35584635053164,47.12103188489071,-1.5403204308555252,
parkinglot_east_4,-68.347000134,-58.598201772,0.103818281,-1.130359944,-67.36256639830252,27.438354076234784,-1.5524706184646522,
parkinglot_east_5,-59.149101257,-78.113700867,0.104198535,-1.130359944,-67.62804505515899,6.1592128471032135,-1.5982951004317096,
parkinglot_east_6,-49.166198702,-95.119201647,0.104198168,0.474237414,-66.1857804178504,-14.070832087282326,0.018485272264119904,
parkinglot_east_7,-39.183200836,-112.124702454,0.104198168,0.474237414,-66.1857804178504,-14.070832087282326,0.018485272264119904,
parkinglot_east,-29.114726983,-84.946266243,0.104198731,0.522397011,-43.62540693361591,-12.821200616536547,0.08542999661937647,
parkinglot_east_8,-15.874511800,-97.717211097,0.103958421,0.466226878,-37.16559441004349,-31.085700107950867,0.06056542769164994,
parkinglot_east_9,24.306768635,-77.476933919,0.104198812,0.500748815,7.7277267747785245,-30.69202554007372,0.03585418297231946,
parkinglot_west_0,-84.459503174,133.917007446,-0.102158992,3.602632743,2.0495544215928767,206.75101149159295,-3.115422967751497,
parkinglot_west_1,-150.492996216,101.113998413,-0.102158992,-1.165180860,-71.39979517989994,205.6352521524901,-1.6133086138885855,
parkinglot_west_2,-142.518005371,82.543296814,-0.102158992,0.364894812,-72.53159610937462,185.3861158209806,0.006619392811869446,
parkinglot_west_3,-100.520843506,102.867996216,-0.102158992,0.458435995,-26.183331149381626,186.411873638503,-0.03266904051407464,
parkinglot_west_4,-142.518005371,82.543296814,-0.102158992,0.364894812,-72.53159610937462,185.3861158209806,-0.006619392811869446,
parkinglot_west_5,-131.823525061,63.197984598,-0.102158089,0.442655006,-70.81746955391576,164.71214440181592,-0.07542354560298084,
parkinglot_west_6,-115.999515970,72.060994961,-0.102158084,0.450599650,-52.99527355391446,165.2954741962787,0.042397996377295126,
parkinglot_west_7,-110.517714703,64.404010882,-0.100149107,-0.602931980,-50.95369451163398,155.80939876736275,-1.0218168036639135,
parkinglot_west_8,-103.593379961,67.159089134,-0.100149103,0.472651443,-43.70940654650033,155.23458802313573,0.034823510145472136,
parkinglot_west_9,-106.287909382,55.015839286,-0.102158082,3.576151598,-51.32248494065045,145.59872492147508,3.078831524672854,
parkinglot_west_10,-123.865388943,45.143959256,-0.102158072,-1.234842536,-71.01606513497649,144.44100795629583,-1.6602796125925514,
parkinglot_west_11,-119.447316406,36.523609939,-0.102158072,-1.309898713,-71.0406623604704,135.34511535056026,-1.812315223585977,
parkinglot_west_12,-115.480655312,30.132177365,-0.102158062,-0.181319469,-71.34031380996655,128.21164135490082,-0.7982434774072529,
parkinglot_west_13,-106.011407579,33.093240697,-0.102158098,-1.078470310,-61.227368161897964,125.74418886038903,-1.5378375741138448,
parkinglot_west_14,-103.345486774,28.728064841,-0.102158089,-1.129665155,-60.251454150100436,121.14724335504245,-1.533686162328857,
parkinglot_west_15,-89.604491886,34.494162802,-0.102158097,0.416279606,-45.29777336803457,120.25821291239008,-0.0031373860131010995,
parkinglot_west_16,-77.073704811,41.722322994,-0.102158074,0.447138038,-31.059981061695197,121.25986768718958,-0.01322988198001206,
parkinglot_west_17,-73.323638683,47.740643965,-0.102158089,0.434754019,-26.043369106952277,125.08260845021046,-0.05919060701461278,
parkinglot_west_18,-71.500849129,52.060996621,-0.102158090,0.828713426,-20.9811905723525,128.6436340936916,0.4137436901813615,
parkinglot_west_19,-70.797317706,70.004769336,-0.102158099,2.019689365,-12.476407539919636,143.3109446367199,1.5780478877744777,
parkinglot_west_20,-62.217311562,79.185504502,-0.102158067,0.368162697,-1.250103134698326,147.71999419726887,-0.07761492399790448,
parkinglot_west_21,-53.107977254,84.422407697,-0.102158097,0.501880438,8.936898088632104,148.17701101825065,0.10490922365739651,
spawn_0,-65.501545376,11.416239821,0.803547626,3.632698155,-34.82005668567761,89.47610095712658,-3.092896022786966,
spawn_1,-79.698330983,7.410124046,0.627325741,3.603194220,-48.031543577831506,91.04646154624345,-3.0938117867675827,
spawn_2,-108.616621803,-10.134310468,0.171729614,-1.337863953,-82.50665945639142,87.19114355543013,-1.5785595757084359,
spawn_3,-104.473648614,-15.350898630,-0.006601652,-0.072235700,-79.73409252127493,81.54432491479284,-0.5155647633839426,
spawn_4,-88.717525962,-8.453347904,0.171240880,0.437618797,-62.96120732577301,81.03237292878299,-0.040101842072507284,
spawn_5,-68.227452511,2.235962728,0.513953342,0.991486365,-43.01508923813704,81.22765038394543,0.21699674506891486,
art_0,17.058300049,114.661003299,0.825234129,1.688569924,84.98445101752255,145.63697973109865,1.2403330704817457,
art_1,6.497749451,122.614993429,0.825234554,4.055730079,79.3159041200096,157.18151260976703,-2.730520960784451,
art_2,1.200680362,113.521319852,0.825234941,-1.376977863,70.27035044538135,151.32327969823245,-1.7117174010161569,
art_3,5.222611124,107.159782371,0.825234927,4.048749983,71.17692011088212,143.8874121592052,-2.668238644982151,
art_4,-8.078579337,90.262602578,0.825233857,4.039317015,51.86684871461309,134.37692504499316,-2.5527370360145243,
art_5,-19.967152684,74.078726500,0.616676294,4.031276656,34.62655308146899,124.35576614787298,-2.67164303904345,
art_6,-14.584115909,81.010835648,0.788905194,0.918206484,42.100201738640855,128.80258028328916,0.5471909972519878,
art_7,8.521889517,110.031353725,0.825234932,0.863460362,75.4772158156898,145.136278664251,0.26132555423491166,
strip_0,125.142567217,-176.544225093,-0.538013186,-0.295718500,54.8,-162.1,-0.432829504559817,
strip_1,217.001452889,-173.602138931,-0.851760928,0.310998086,138.6,-200.5,-0.0528294810652512,
strip_2,288.357974038,-143.774040232,-0.390922471,0.281443420,215.4,-205.1,-0.2953170005099502,
strip_3,348.623079448,-133.817600759,-0.112980714,0.043519448,273.8,-222.5,-0.5109016387825165,
